F B B B X B X X X X X X X X X X X X X X 
B B B B B B X X X X X X X X X X X X X X 
B B B X B B X X X X X X X X X X X X X X 
B X B X B X X X X X X X X X X X X X X X 
B B X B B X X X X X X X X X X X X X X X 
B B B X X X X X X X X X X X X X X X X X 
F B X X X X X X X X X X X X X X X X X X 
F B B B B B X X X X X X X X X X X X X X 
F B B B B B B B B B B X X X X X X X X X 
B B B B B B B B B X X X X X X X X X X X 
F F F B B B X B B X X X X X X X X X X X 
F F F B B B B X B X X X X X X X X X X X 
F F F B B X B B B X X X X X X X X X X X 
F F B B B B B X B X X X X X X X X X X X 
F F F B B B B X X X X B X X X X X X X X 
F F F B B B B B B B B X X X X X X X X X 
F F F F B B B X X B B B X X X X X X X X 
F F F B B B X B B X B B B B B X X X B X 
F F F F B B B X B X B X X B B B B X X B 
F F F B B B B B B B B B X X B X X X X B 
